"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926843"
"eastern cape","Pfizer","1376276"
"free state","Johnson & Johnson","489874"
"free state","Pfizer","689367"
"gauteng","Johnson & Johnson","1580082"
"gauteng","Pfizer","3967184"
"kwazulu-natal","Johnson & Johnson","1262069"
"kwazulu-natal","Pfizer","2021051"
"limpopo","Johnson & Johnson","1093139"
"limpopo","Pfizer","1069979"
"mpumalanga","Johnson & Johnson","841851"
"mpumalanga","Pfizer","590424"
"northern cape","Johnson & Johnson","218618"
"northern cape","Pfizer","231428"
"north west","Johnson & Johnson","720752"
"north west","Pfizer","636241"
"western cape","Johnson & Johnson","760608"
"western cape","Pfizer","2142660"
