"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921850"
"eastern cape","Pfizer","1358579"
"free state","Johnson & Johnson","488877"
"free state","Pfizer","683268"
"gauteng","Johnson & Johnson","1562600"
"gauteng","Pfizer","3942592"
"kwazulu-natal","Johnson & Johnson","1254521"
"kwazulu-natal","Pfizer","2006265"
"limpopo","Johnson & Johnson","1086794"
"limpopo","Pfizer","1057280"
"mpumalanga","Johnson & Johnson","836446"
"mpumalanga","Pfizer","583333"
"northern cape","Johnson & Johnson","217220"
"northern cape","Pfizer","229173"
"north west","Johnson & Johnson","716865"
"north west","Pfizer","629493"
"western cape","Johnson & Johnson","755905"
"western cape","Pfizer","2133268"
