"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923105"
"eastern cape","Pfizer","1364023"
"free state","Johnson & Johnson","489249"
"free state","Pfizer","685407"
"gauteng","Johnson & Johnson","1568402"
"gauteng","Pfizer","3950866"
"kwazulu-natal","Johnson & Johnson","1257368"
"kwazulu-natal","Pfizer","2011999"
"limpopo","Johnson & Johnson","1089849"
"limpopo","Pfizer","1061875"
"mpumalanga","Johnson & Johnson","838687"
"mpumalanga","Pfizer","586421"
"northern cape","Johnson & Johnson","217840"
"northern cape","Pfizer","229952"
"north west","Johnson & Johnson","718302"
"north west","Pfizer","631672"
"western cape","Johnson & Johnson","757452"
"western cape","Pfizer","2136518"
