"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920645"
"eastern cape","Pfizer","1352803"
"free state","Johnson & Johnson","488511"
"free state","Pfizer","681056"
"gauteng","Johnson & Johnson","1557513"
"gauteng","Pfizer","3934368"
"kwazulu-natal","Johnson & Johnson","1251741"
"kwazulu-natal","Pfizer","2000379"
"limpopo","Johnson & Johnson","1084241"
"limpopo","Pfizer","1053159"
"mpumalanga","Johnson & Johnson","834340"
"mpumalanga","Pfizer","580870"
"northern cape","Johnson & Johnson","216688"
"northern cape","Pfizer","228422"
"north west","Johnson & Johnson","715839"
"north west","Pfizer","627533"
"western cape","Johnson & Johnson","754539"
"western cape","Pfizer","2129967"
