"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","160895","67296","416942"
"EASTERN CAPE","12-17","Male","133486","49651","429096"
"FREE STATE","12-17","Female","91995","45565","161705"
"FREE STATE","12-17","Male","78606","34481","162847"
"GAUTENG","12-17","Female","212532","95797","649047"
"GAUTENG","12-17","Male","175036","74375","648920"
"KWAZULU-NATAL","12-17","Female","172941","81648","647510"
"KWAZULU-NATAL","12-17","Male","121823","52137","658202"
"LIMPOPO","12-17","Female","156413","57150","352420"
"LIMPOPO","12-17","Male","134061","42538","372427"
"MPUMALANGA","12-17","Female","81330","31334","257710"
"MPUMALANGA","12-17","Male","67106","21884","259479"
"NORTHERN CAPE","12-17","Female","20335","8579","69852"
"NORTHERN CAPE","12-17","Male","16254","6354","69047"
"NORTH WEST","12-17","Female","82273","30213","221385"
"NORTH WEST","12-17","Male","68756","22447","223092"
"WESTERN CAPE","12-17","Female","71157","29462","320269"
"WESTERN CAPE","12-17","Male","61190","24784","322848"
