"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883798"
"eastern cape","Pfizer","1295663"
"free state","Johnson & Johnson","470764"
"free state","Pfizer","649575"
"gauteng","Johnson & Johnson","1465642"
"gauteng","Pfizer","3795232"
"kwazulu-natal","Johnson & Johnson","1181832"
"kwazulu-natal","Pfizer","1893123"
"limpopo","Johnson & Johnson","1044318"
"limpopo","Pfizer","1007667"
"mpumalanga","Johnson & Johnson","776421"
"mpumalanga","Pfizer","545864"
"northern cape","Johnson & Johnson","207764"
"northern cape","Pfizer","216392"
"north west","Johnson & Johnson","690823"
"north west","Pfizer","600998"
"western cape","Johnson & Johnson","726979"
"western cape","Pfizer","2079781"
