"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","887143"
"eastern cape","Pfizer","1299004"
"free state","Johnson & Johnson","472650"
"free state","Pfizer","651914"
"gauteng","Johnson & Johnson","1473385"
"gauteng","Pfizer","3806426"
"kwazulu-natal","Johnson & Johnson","1186823"
"kwazulu-natal","Pfizer","1899920"
"limpopo","Johnson & Johnson","1047458"
"limpopo","Pfizer","1010515"
"mpumalanga","Johnson & Johnson","781336"
"mpumalanga","Pfizer","548288"
"northern cape","Johnson & Johnson","208373"
"northern cape","Pfizer","217073"
"north west","Johnson & Johnson","693642"
"north west","Pfizer","603203"
"western cape","Johnson & Johnson","729620"
"western cape","Pfizer","2084022"
