"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","128852","30931","416942"
"EASTERN CAPE","12-17","Male","103565","20880","429096"
"FREE STATE","12-17","Female","85135","33203","161705"
"FREE STATE","12-17","Male","71827","24101","162847"
"GAUTENG","12-17","Female","199567","73920","649047"
"GAUTENG","12-17","Male","163796","57462","648920"
"KWAZULU-NATAL","12-17","Female","136393","41472","647510"
"KWAZULU-NATAL","12-17","Male","96408","27569","658202"
"LIMPOPO","12-17","Female","123367","34616","352420"
"LIMPOPO","12-17","Male","103011","26083","372427"
"MPUMALANGA","12-17","Female","66965","16979","257710"
"MPUMALANGA","12-17","Male","56424","12523","259479"
"NORTHERN CAPE","12-17","Female","13347","4266","69852"
"NORTHERN CAPE","12-17","Male","10885","3172","69047"
"NORTH WEST","12-17","Female","77015","21883","221385"
"NORTH WEST","12-17","Male","64189","16035","223092"
"WESTERN CAPE","12-17","Female","70247","26029","320269"
"WESTERN CAPE","12-17","Male","59579","21558","322848"
