"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919025"
"eastern cape","Pfizer","1345036"
"free state","Johnson & Johnson","487754"
"free state","Pfizer","677372"
"gauteng","Johnson & Johnson","1550844"
"gauteng","Pfizer","3921431"
"kwazulu-natal","Johnson & Johnson","1248139"
"kwazulu-natal","Pfizer","1991362"
"limpopo","Johnson & Johnson","1081586"
"limpopo","Pfizer","1047281"
"mpumalanga","Johnson & Johnson","831525"
"mpumalanga","Pfizer","577045"
"northern cape","Johnson & Johnson","216299"
"northern cape","Pfizer","227471"
"north west","Johnson & Johnson","714552"
"north west","Pfizer","624868"
"western cape","Johnson & Johnson","752400"
"western cape","Pfizer","2125073"
