"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158471","63298","416942"
"EASTERN CAPE","12-17","Male","130998","46029","429096"
"FREE STATE","12-17","Female","92682","45473","161705"
"FREE STATE","12-17","Male","79019","34285","162847"
"GAUTENG","12-17","Female","214595","96129","649047"
"GAUTENG","12-17","Male","176533","74436","648920"
"KWAZULU-NATAL","12-17","Female","174601","81033","647510"
"KWAZULU-NATAL","12-17","Male","122815","51475","658202"
"LIMPOPO","12-17","Female","156293","55680","352420"
"LIMPOPO","12-17","Male","133898","41281","372427"
"MPUMALANGA","12-17","Female","81105","29558","257710"
"MPUMALANGA","12-17","Male","67010","20740","259479"
"NORTHERN CAPE","12-17","Female","20263","8238","69852"
"NORTHERN CAPE","12-17","Male","16189","6067","69047"
"NORTH WEST","12-17","Female","83261","30392","221385"
"NORTH WEST","12-17","Male","69421","22411","223092"
"WESTERN CAPE","12-17","Female","71327","29127","320269"
"WESTERN CAPE","12-17","Male","61276","24489","322848"
