"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14619","5615","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12522","4590","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19207","10656","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15317","7598","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8429","3064","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7426","2396","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11094","6417","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9368","4803","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13538","5342","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11168","3912","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17626","6675","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14912","4791","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26136","15784","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23166","12675","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4208","1186","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3453","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51027","21679","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41851","16691","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15151","6816","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12134","5172","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19426","10247","41623"
"GAUTENG","WEST RAND DM","12-17","Male","15940","7760","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6662","2870","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4361","1801","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","25922","12345","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22521","10501","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13205","7865","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10403","5725","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8759","4421","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5333","2465","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12515","5118","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8254","3143","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13102","5635","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8601","3160","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14049","5796","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10201","3833","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20232","10247","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12833","5398","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14721","6308","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9086","3447","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15300","6905","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10356","4068","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","23824","12684","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17173","8055","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37546","15688","81625"
