"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922362"
"eastern cape","Pfizer","1360764"
"free state","Johnson & Johnson","489029"
"free state","Pfizer","684104"
"gauteng","Johnson & Johnson","1564810"
"gauteng","Pfizer","3945732"
"kwazulu-natal","Johnson & Johnson","1255618"
"kwazulu-natal","Pfizer","2008455"
"limpopo","Johnson & Johnson","1088356"
"limpopo","Pfizer","1059251"
"mpumalanga","Johnson & Johnson","837421"
"mpumalanga","Pfizer","584584"
"northern cape","Johnson & Johnson","217466"
"northern cape","Pfizer","229483"
"north west","Johnson & Johnson","717489"
"north west","Pfizer","630320"
"western cape","Johnson & Johnson","756462"
"western cape","Pfizer","2134476"
