"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154981","55582","416942"
"EASTERN CAPE","12-17","Male","127206","39180","429096"
"FREE STATE","12-17","Female","93283","44092","161705"
"FREE STATE","12-17","Male","79365","33008","162847"
"GAUTENG","12-17","Female","217776","95132","649047"
"GAUTENG","12-17","Male","178807","73310","648920"
"KWAZULU-NATAL","12-17","Female","173172","72647","647510"
"KWAZULU-NATAL","12-17","Male","121764","46676","658202"
"LIMPOPO","12-17","Female","153141","52145","352420"
"LIMPOPO","12-17","Male","131867","38758","372427"
"MPUMALANGA","12-17","Female","79526","26897","257710"
"MPUMALANGA","12-17","Male","66246","19057","259479"
"NORTHERN CAPE","12-17","Female","19114","6498","69852"
"NORTHERN CAPE","12-17","Male","15263","4821","69047"
"NORTH WEST","12-17","Female","84511","30227","221385"
"NORTH WEST","12-17","Male","70334","22022","223092"
"WESTERN CAPE","12-17","Female","71072","28326","320269"
"WESTERN CAPE","12-17","Male","60730","23743","322848"
