"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","911911"
"eastern cape","Pfizer","1326899"
"free state","Johnson & Johnson","484501"
"free state","Pfizer","668066"
"gauteng","Johnson & Johnson","1529619"
"gauteng","Pfizer","3885382"
"kwazulu-natal","Johnson & Johnson","1229689"
"kwazulu-natal","Pfizer","1961496"
"limpopo","Johnson & Johnson","1074462"
"limpopo","Pfizer","1034240"
"mpumalanga","Johnson & Johnson","815938"
"mpumalanga","Pfizer","565605"
"northern cape","Johnson & Johnson","213469"
"northern cape","Pfizer","223327"
"north west","Johnson & Johnson","710219"
"north west","Pfizer","617890"
"western cape","Johnson & Johnson","746259"
"western cape","Pfizer","2111326"
