"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915791"
"eastern cape","Pfizer","1335562"
"free state","Johnson & Johnson","486448"
"free state","Pfizer","672370"
"gauteng","Johnson & Johnson","1540537"
"gauteng","Pfizer","3902805"
"kwazulu-natal","Johnson & Johnson","1239391"
"kwazulu-natal","Pfizer","1976363"
"limpopo","Johnson & Johnson","1077513"
"limpopo","Pfizer","1040094"
"mpumalanga","Johnson & Johnson","825098"
"mpumalanga","Pfizer","571359"
"northern cape","Johnson & Johnson","215349"
"northern cape","Pfizer","225970"
"north west","Johnson & Johnson","712624"
"north west","Pfizer","621387"
"western cape","Johnson & Johnson","749392"
"western cape","Pfizer","2117734"
