"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154447","56430","416942"
"EASTERN CAPE","12-17","Male","127002","40026","429096"
"FREE STATE","12-17","Female","92798","44481","161705"
"FREE STATE","12-17","Male","79027","33341","162847"
"GAUTENG","12-17","Female","216785","96057","649047"
"GAUTENG","12-17","Male","178189","74218","648920"
"KWAZULU-NATAL","12-17","Female","173488","74697","647510"
"KWAZULU-NATAL","12-17","Male","121975","47720","658202"
"LIMPOPO","12-17","Female","152815","52938","352420"
"LIMPOPO","12-17","Male","131673","39383","372427"
"MPUMALANGA","12-17","Female","79551","27385","257710"
"MPUMALANGA","12-17","Male","66254","19407","259479"
"NORTHERN CAPE","12-17","Female","19361","7009","69852"
"NORTHERN CAPE","12-17","Male","15452","5174","69047"
"NORTH WEST","12-17","Female","84120","30398","221385"
"NORTH WEST","12-17","Male","70102","22307","223092"
"WESTERN CAPE","12-17","Female","70566","28653","320269"
"WESTERN CAPE","12-17","Male","60479","24033","322848"
