"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","146704","45159","416942"
"EASTERN CAPE","12-17","Male","119096","30976","429096"
"FREE STATE","12-17","Female","90566","40003","161705"
"FREE STATE","12-17","Male","76701","29517","162847"
"GAUTENG","12-17","Female","210046","87780","649047"
"GAUTENG","12-17","Male","172219","67506","648920"
"KWAZULU-NATAL","12-17","Female","155609","59248","647510"
"KWAZULU-NATAL","12-17","Male","109068","37595","658202"
"LIMPOPO","12-17","Female","137131","43198","352420"
"LIMPOPO","12-17","Male","115022","31842","372427"
"MPUMALANGA","12-17","Female","74482","21703","257710"
"MPUMALANGA","12-17","Male","62178","15737","259479"
"NORTHERN CAPE","12-17","Female","16637","5120","69852"
"NORTHERN CAPE","12-17","Male","13378","3781","69047"
"NORTH WEST","12-17","Female","81936","26963","221385"
"NORTH WEST","12-17","Male","67845","19502","223092"
"WESTERN CAPE","12-17","Female","70577","27203","320269"
"WESTERN CAPE","12-17","Male","60061","22610","322848"
