"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","153864","52961","416942"
"EASTERN CAPE","12-17","Male","125521","37164","429096"
"FREE STATE","12-17","Female","93267","42956","161705"
"FREE STATE","12-17","Male","79275","32188","162847"
"GAUTENG","12-17","Female","216175","92678","649047"
"GAUTENG","12-17","Male","177240","71267","648920"
"KWAZULU-NATAL","12-17","Female","168842","68629","647510"
"KWAZULU-NATAL","12-17","Male","118582","43883","658202"
"LIMPOPO","12-17","Female","148534","49307","352420"
"LIMPOPO","12-17","Male","125755","36544","372427"
"MPUMALANGA","12-17","Female","78362","25402","257710"
"MPUMALANGA","12-17","Male","65158","18172","259479"
"NORTHERN CAPE","12-17","Female","18484","6077","69852"
"NORTHERN CAPE","12-17","Male","14804","4537","69047"
"NORTH WEST","12-17","Female","84248","29496","221385"
"NORTH WEST","12-17","Male","69983","21363","223092"
"WESTERN CAPE","12-17","Female","70830","27744","320269"
"WESTERN CAPE","12-17","Male","60432","23162","322848"
