"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","892247"
"eastern cape","Pfizer","1304244"
"free state","Johnson & Johnson","475424"
"free state","Pfizer","655383"
"gauteng","Johnson & Johnson","1485718"
"gauteng","Pfizer","3823537"
"kwazulu-natal","Johnson & Johnson","1194814"
"kwazulu-natal","Pfizer","1910381"
"limpopo","Johnson & Johnson","1053328"
"limpopo","Pfizer","1014987"
"mpumalanga","Johnson & Johnson","787965"
"mpumalanga","Pfizer","551597"
"northern cape","Johnson & Johnson","209303"
"northern cape","Pfizer","218280"
"north west","Johnson & Johnson","697727"
"north west","Pfizer","606210"
"western cape","Johnson & Johnson","733113"
"western cape","Pfizer","2089483"
