"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","135251","36364","416942"
"EASTERN CAPE","12-17","Male","109196","24599","429096"
"FREE STATE","12-17","Female","87581","36133","161705"
"FREE STATE","12-17","Male","74089","26453","162847"
"GAUTENG","12-17","Female","203237","79534","649047"
"GAUTENG","12-17","Male","166831","61587","648920"
"KWAZULU-NATAL","12-17","Female","142793","48229","647510"
"KWAZULU-NATAL","12-17","Male","100627","31435","658202"
"LIMPOPO","12-17","Female","128039","37895","352420"
"LIMPOPO","12-17","Male","106918","28224","372427"
"MPUMALANGA","12-17","Female","69811","18635","257710"
"MPUMALANGA","12-17","Male","58751","13671","259479"
"NORTHERN CAPE","12-17","Female","14409","4480","69852"
"NORTHERN CAPE","12-17","Male","11759","3348","69047"
"NORTH WEST","12-17","Female","78704","24157","221385"
"NORTH WEST","12-17","Male","65392","17534","223092"
"WESTERN CAPE","12-17","Female","70336","26564","320269"
"WESTERN CAPE","12-17","Male","59805","22053","322848"
