"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14622","5590","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12483","4567","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19290","10687","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15321","7588","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8466","3073","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7478","2407","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11145","6444","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9405","4812","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13594","5346","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11181","3914","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17730","6710","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14994","4807","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26297","15750","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23283","12634","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4240","1193","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3465","813","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51268","21740","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41986","16731","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15230","6857","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12197","5197","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19541","10280","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16025","7793","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6695","2882","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4369","1800","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26056","12388","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22628","10536","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13257","7897","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10441","5736","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8803","4441","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5365","2478","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12605","5142","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8284","3151","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13183","5674","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8664","3186","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14130","5819","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10233","3837","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20365","10283","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12918","5412","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14808","6307","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9134","3440","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15412","6947","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10407","4085","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24001","12775","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17279","8090","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37214","15532","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31901","11791","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37346","13065","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30779","9476","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26339","10032","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25837","8423","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38094","12715","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30879","8776","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17764","7032","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14872","5198","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","48044","20044","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36816","13215","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17005","6582","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17621","5524","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7596","3717","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6307","2808","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1712","668","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1374","502","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3588","1591","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2746","1142","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32191","13501","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26739","10004","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21359","7481","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17809","5468","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9322","4110","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8183","3409","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","812","382","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","627","279","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6284","2564","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5329","1971","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3014","1005","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2375","773","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4170","1883","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3635","1430","22568"
