"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924171"
"eastern cape","Pfizer","1367899"
"free state","Johnson & Johnson","489420"
"free state","Pfizer","686662"
"gauteng","Johnson & Johnson","1572262"
"gauteng","Pfizer","3955881"
"kwazulu-natal","Johnson & Johnson","1259017"
"kwazulu-natal","Pfizer","2015113"
"limpopo","Johnson & Johnson","1091110"
"limpopo","Pfizer","1064703"
"mpumalanga","Johnson & Johnson","839752"
"mpumalanga","Pfizer","587778"
"northern cape","Johnson & Johnson","218219"
"northern cape","Pfizer","230501"
"north west","Johnson & Johnson","719231"
"north west","Pfizer","633094"
"western cape","Johnson & Johnson","758594"
"western cape","Pfizer","2138626"
