"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156213","59928","416942"
"EASTERN CAPE","12-17","Male","128296","42872","429096"
"FREE STATE","12-17","Female","92740","45182","161705"
"FREE STATE","12-17","Male","79004","34041","162847"
"GAUTENG","12-17","Female","215667","96090","649047"
"GAUTENG","12-17","Male","177353","74362","648920"
"KWAZULU-NATAL","12-17","Female","173974","78691","647510"
"KWAZULU-NATAL","12-17","Male","122465","50274","658202"
"LIMPOPO","12-17","Female","154533","54206","352420"
"LIMPOPO","12-17","Male","132713","40244","372427"
"MPUMALANGA","12-17","Female","80395","28495","257710"
"MPUMALANGA","12-17","Male","66626","20005","259479"
"NORTHERN CAPE","12-17","Female","20041","7918","69852"
"NORTHERN CAPE","12-17","Male","16019","5841","69047"
"NORTH WEST","12-17","Female","83667","30400","221385"
"NORTH WEST","12-17","Male","69792","22388","223092"
"WESTERN CAPE","12-17","Female","70568","28724","320269"
"WESTERN CAPE","12-17","Male","60527","24149","322848"
