"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917525"
"eastern cape","Pfizer","1340171"
"free state","Johnson & Johnson","487177"
"free state","Pfizer","675126"
"gauteng","Johnson & Johnson","1545976"
"gauteng","Pfizer","3912253"
"kwazulu-natal","Johnson & Johnson","1244725"
"kwazulu-natal","Pfizer","1984148"
"limpopo","Johnson & Johnson","1079509"
"limpopo","Pfizer","1043611"
"mpumalanga","Johnson & Johnson","829181"
"mpumalanga","Pfizer","574693"
"northern cape","Johnson & Johnson","215979"
"northern cape","Pfizer","226820"
"north west","Johnson & Johnson","713645"
"north west","Pfizer","623246"
"western cape","Johnson & Johnson","750865"
"western cape","Pfizer","2121448"
