"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921007"
"eastern cape","Pfizer","1354254"
"free state","Johnson & Johnson","488618"
"free state","Pfizer","681636"
"gauteng","Johnson & Johnson","1558826"
"gauteng","Pfizer","3936454"
"kwazulu-natal","Johnson & Johnson","1252498"
"kwazulu-natal","Pfizer","2001985"
"limpopo","Johnson & Johnson","1084769"
"limpopo","Pfizer","1054126"
"mpumalanga","Johnson & Johnson","834902"
"mpumalanga","Pfizer","581519"
"northern cape","Johnson & Johnson","216878"
"northern cape","Pfizer","228663"
"north west","Johnson & Johnson","716118"
"north west","Pfizer","628028"
"western cape","Johnson & Johnson","754898"
"western cape","Pfizer","2130740"
