"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924718"
"eastern cape","Pfizer","1368782"
"free state","Johnson & Johnson","489484"
"free state","Pfizer","686980"
"gauteng","Johnson & Johnson","1573534"
"gauteng","Pfizer","3957344"
"kwazulu-natal","Johnson & Johnson","1259569"
"kwazulu-natal","Pfizer","2015859"
"limpopo","Johnson & Johnson","1091481"
"limpopo","Pfizer","1065408"
"mpumalanga","Johnson & Johnson","840150"
"mpumalanga","Pfizer","588140"
"northern cape","Johnson & Johnson","218271"
"northern cape","Pfizer","230628"
"north west","Johnson & Johnson","719518"
"north west","Pfizer","633530"
"western cape","Johnson & Johnson","758818"
"western cape","Pfizer","2139034"
