"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","896339"
"eastern cape","Pfizer","1308197"
"free state","Johnson & Johnson","477266"
"free state","Pfizer","657644"
"gauteng","Johnson & Johnson","1493826"
"gauteng","Pfizer","3835165"
"kwazulu-natal","Johnson & Johnson","1200317"
"kwazulu-natal","Pfizer","1918422"
"limpopo","Johnson & Johnson","1057167"
"limpopo","Pfizer","1018271"
"mpumalanga","Johnson & Johnson","792702"
"mpumalanga","Pfizer","553899"
"northern cape","Johnson & Johnson","210127"
"northern cape","Pfizer","219087"
"north west","Johnson & Johnson","700725"
"north west","Pfizer","608226"
"western cape","Johnson & Johnson","735480"
"western cape","Pfizer","2093439"
