"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","140767","40380","416942"
"EASTERN CAPE","12-17","Male","113579","27460","429096"
"FREE STATE","12-17","Female","88729","37758","161705"
"FREE STATE","12-17","Male","75220","27705","162847"
"GAUTENG","12-17","Female","206168","83557","649047"
"GAUTENG","12-17","Male","169239","64357","648920"
"KWAZULU-NATAL","12-17","Female","147631","53292","647510"
"KWAZULU-NATAL","12-17","Male","104050","34314","658202"
"LIMPOPO","12-17","Female","132519","40069","352420"
"LIMPOPO","12-17","Male","110802","29779","372427"
"MPUMALANGA","12-17","Female","72066","20258","257710"
"MPUMALANGA","12-17","Male","60375","14744","259479"
"NORTHERN CAPE","12-17","Female","15304","4739","69852"
"NORTHERN CAPE","12-17","Male","12359","3555","69047"
"NORTH WEST","12-17","Female","80475","25580","221385"
"NORTH WEST","12-17","Male","66687","18521","223092"
"WESTERN CAPE","12-17","Female","70429","26830","320269"
"WESTERN CAPE","12-17","Male","59894","22314","322848"
