"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926906"
"eastern cape","Pfizer","1376622"
"free state","Johnson & Johnson","489897"
"free state","Pfizer","689564"
"gauteng","Johnson & Johnson","1580515"
"gauteng","Pfizer","3968066"
"kwazulu-natal","Johnson & Johnson","1262286"
"kwazulu-natal","Pfizer","2021451"
"limpopo","Johnson & Johnson","1093242"
"limpopo","Pfizer","1070306"
"mpumalanga","Johnson & Johnson","841990"
"mpumalanga","Pfizer","590600"
"northern cape","Johnson & Johnson","218639"
"northern cape","Pfizer","231467"
"north west","Johnson & Johnson","720886"
"north west","Pfizer","636448"
"western cape","Johnson & Johnson","760761"
"western cape","Pfizer","2143000"
