"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14554","5603","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12472","4585","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19096","10609","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15250","7588","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8377","3052","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7377","2391","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11035","6388","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9323","4787","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13448","5316","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11103","3890","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17520","6636","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14841","4776","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","25965","15708","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23038","12632","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4177","1179","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3431","806","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","50729","21587","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41670","16644","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15066","6774","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12077","5152","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19318","10191","41623"
"GAUTENG","WEST RAND DM","12-17","Male","15868","7742","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6622","2857","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4340","1792","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","25776","12283","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22375","10438","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13130","7828","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10360","5708","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8693","4382","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5302","2454","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12443","5097","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8215","3128","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13000","5600","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8562","3150","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","13956","5774","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10139","3822","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20110","10195","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12767","5376","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14624","6274","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9039","3431","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15185","6862","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10303","4050","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","23696","12618","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17078","8024","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37372","15609","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31976","11843","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37034","13042","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30557","9470","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26194","9995","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25670","8421","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","37739","12618","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30570","8690","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17633","6976","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14797","5185","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47644","20089","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36700","13334","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","16797","6524","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17293","5448","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7537","3703","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6266","2807","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1680","654","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1358","498","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3539","1577","11577"
