"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926876"
"eastern cape","Pfizer","1376448"
"free state","Johnson & Johnson","489884"
"free state","Pfizer","689461"
"gauteng","Johnson & Johnson","1580307"
"gauteng","Pfizer","3967668"
"kwazulu-natal","Johnson & Johnson","1262175"
"kwazulu-natal","Pfizer","2021250"
"limpopo","Johnson & Johnson","1093194"
"limpopo","Pfizer","1070152"
"mpumalanga","Johnson & Johnson","841943"
"mpumalanga","Pfizer","590516"
"northern cape","Johnson & Johnson","218628"
"northern cape","Pfizer","231453"
"north west","Johnson & Johnson","720824"
"north west","Pfizer","636347"
"western cape","Johnson & Johnson","760686"
"western cape","Pfizer","2142840"
