"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922983"
"eastern cape","Pfizer","1363631"
"free state","Johnson & Johnson","489230"
"free state","Pfizer","685262"
"gauteng","Johnson & Johnson","1568113"
"gauteng","Pfizer","3950389"
"kwazulu-natal","Johnson & Johnson","1257135"
"kwazulu-natal","Pfizer","2011600"
"limpopo","Johnson & Johnson","1089690"
"limpopo","Pfizer","1061522"
"mpumalanga","Johnson & Johnson","838569"
"mpumalanga","Pfizer","586209"
"northern cape","Johnson & Johnson","217809"
"northern cape","Pfizer","229913"
"north west","Johnson & Johnson","718273"
"north west","Pfizer","631532"
"western cape","Johnson & Johnson","757347"
"western cape","Pfizer","2136303"
