"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914154"
"eastern cape","Pfizer","1331437"
"free state","Johnson & Johnson","485684"
"free state","Pfizer","670354"
"gauteng","Johnson & Johnson","1536062"
"gauteng","Pfizer","3895396"
"kwazulu-natal","Johnson & Johnson","1234459"
"kwazulu-natal","Pfizer","1969617"
"limpopo","Johnson & Johnson","1076049"
"limpopo","Pfizer","1037428"
"mpumalanga","Johnson & Johnson","820424"
"mpumalanga","Pfizer","568269"
"northern cape","Johnson & Johnson","214442"
"northern cape","Pfizer","224738"
"north west","Johnson & Johnson","711673"
"north west","Pfizer","619800"
"western cape","Johnson & Johnson","747996"
"western cape","Pfizer","2114696"
