"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154587","55906","416942"
"EASTERN CAPE","12-17","Male","127034","39457","429096"
"FREE STATE","12-17","Female","93095","44407","161705"
"FREE STATE","12-17","Male","79230","33260","162847"
"GAUTENG","12-17","Female","217435","95856","649047"
"GAUTENG","12-17","Male","178622","73918","648920"
"KWAZULU-NATAL","12-17","Female","173374","73654","647510"
"KWAZULU-NATAL","12-17","Male","121868","47185","658202"
"LIMPOPO","12-17","Female","152943","52586","352420"
"LIMPOPO","12-17","Male","131809","39111","372427"
"MPUMALANGA","12-17","Female","79490","27109","257710"
"MPUMALANGA","12-17","Male","66223","19215","259479"
"NORTHERN CAPE","12-17","Female","19213","6712","69852"
"NORTHERN CAPE","12-17","Male","15332","4961","69047"
"NORTH WEST","12-17","Female","84338","30327","221385"
"NORTH WEST","12-17","Male","70225","22184","223092"
"WESTERN CAPE","12-17","Female","70789","28519","320269"
"WESTERN CAPE","12-17","Male","60621","23928","322848"
