"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","906949"
"eastern cape","Pfizer","1319517"
"free state","Johnson & Johnson","482167"
"free state","Pfizer","664527"
"gauteng","Johnson & Johnson","1517720"
"gauteng","Pfizer","3868147"
"kwazulu-natal","Johnson & Johnson","1219740"
"kwazulu-natal","Pfizer","1946466"
"limpopo","Johnson & Johnson","1069456"
"limpopo","Pfizer","1028205"
"mpumalanga","Johnson & Johnson","807195"
"mpumalanga","Pfizer","561188"
"northern cape","Johnson & Johnson","212366"
"northern cape","Pfizer","221730"
"north west","Johnson & Johnson","707292"
"north west","Pfizer","614254"
"western cape","Johnson & Johnson","742723"
"western cape","Pfizer","2105467"
