"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","153393","52367","416942"
"EASTERN CAPE","12-17","Male","125165","36625","429096"
"FREE STATE","12-17","Female","93125","42807","161705"
"FREE STATE","12-17","Male","79166","32037","162847"
"GAUTENG","12-17","Female","215887","92395","649047"
"GAUTENG","12-17","Male","176967","70980","648920"
"KWAZULU-NATAL","12-17","Female","167984","68082","647510"
"KWAZULU-NATAL","12-17","Male","117927","43453","658202"
"LIMPOPO","12-17","Female","147741","48911","352420"
"LIMPOPO","12-17","Male","125064","36244","372427"
"MPUMALANGA","12-17","Female","78101","25186","257710"
"MPUMALANGA","12-17","Male","64911","18015","259479"
"NORTHERN CAPE","12-17","Female","18359","5958","69852"
"NORTHERN CAPE","12-17","Male","14714","4447","69047"
"NORTH WEST","12-17","Female","84105","29365","221385"
"NORTH WEST","12-17","Male","69853","21252","223092"
"WESTERN CAPE","12-17","Female","70825","27723","320269"
"WESTERN CAPE","12-17","Male","60408","23132","322848"
