"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","13993","4563","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","11816","3793","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","18977","10197","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14728","7050","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8542","3066","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7565","2364","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11249","6429","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9493","4767","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13782","5286","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11279","3865","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","18004","6751","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15215","4822","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26555","15610","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23539","12486","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4298","1198","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3518","798","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","52107","22034","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42547","16811","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15533","6978","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12382","5266","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19772","10311","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16222","7813","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6833","2918","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4427","1801","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26457","12581","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22899","10634","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13443","7936","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10581","5756","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8968","4489","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5454","2493","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12817","5224","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8400","3200","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13340","5682","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8733","3171","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14197","5811","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10220","3811","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20635","10272","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13113","5418","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","15050","6380","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9296","3477","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15722","7066","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10595","4138","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24437","12985","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17561","8188","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36588","15040","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31494","11348","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37055","12496","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30495","8964","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26198","9951","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25862","8404","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38474","12847","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","31140","8850","91753"
