"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155108","55605","416942"
"EASTERN CAPE","12-17","Male","127290","39184","429096"
"FREE STATE","12-17","Female","93363","44124","161705"
"FREE STATE","12-17","Male","79409","33021","162847"
"GAUTENG","12-17","Female","217925","95172","649047"
"GAUTENG","12-17","Male","178922","73329","648920"
"KWAZULU-NATAL","12-17","Female","173274","72689","647510"
"KWAZULU-NATAL","12-17","Male","121810","46691","658202"
"LIMPOPO","12-17","Female","153234","52176","352420"
"LIMPOPO","12-17","Male","131954","38775","372427"
"MPUMALANGA","12-17","Female","79569","26906","257710"
"MPUMALANGA","12-17","Male","66301","19066","259479"
"NORTHERN CAPE","12-17","Female","19129","6495","69852"
"NORTHERN CAPE","12-17","Male","15271","4819","69047"
"NORTH WEST","12-17","Female","84578","30217","221385"
"NORTH WEST","12-17","Male","70397","22027","223092"
"WESTERN CAPE","12-17","Female","71141","28338","320269"
"WESTERN CAPE","12-17","Male","60790","23759","322848"
