"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","911846"
"eastern cape","Pfizer","1326639"
"free state","Johnson & Johnson","484473"
"free state","Pfizer","667920"
"gauteng","Johnson & Johnson","1529435"
"gauteng","Pfizer","3884794"
"kwazulu-natal","Johnson & Johnson","1229515"
"kwazulu-natal","Pfizer","1961011"
"limpopo","Johnson & Johnson","1074430"
"limpopo","Pfizer","1033990"
"mpumalanga","Johnson & Johnson","815876"
"mpumalanga","Pfizer","565463"
"northern cape","Johnson & Johnson","213453"
"northern cape","Pfizer","223252"
"north west","Johnson & Johnson","710161"
"north west","Pfizer","617687"
"western cape","Johnson & Johnson","746237"
"western cape","Pfizer","2111068"
