"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","905985"
"eastern cape","Pfizer","1318339"
"free state","Johnson & Johnson","481688"
"free state","Pfizer","663887"
"gauteng","Johnson & Johnson","1515388"
"gauteng","Pfizer","3865121"
"kwazulu-natal","Johnson & Johnson","1218109"
"kwazulu-natal","Pfizer","1943874"
"limpopo","Johnson & Johnson","1068191"
"limpopo","Pfizer","1027233"
"mpumalanga","Johnson & Johnson","805745"
"mpumalanga","Pfizer","560435"
"northern cape","Johnson & Johnson","212087"
"northern cape","Pfizer","221414"
"north west","Johnson & Johnson","706707"
"north west","Pfizer","613645"
"western cape","Johnson & Johnson","741926"
"western cape","Pfizer","2104288"
