"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","152640","51076","416942"
"EASTERN CAPE","12-17","Male","124386","35589","429096"
"FREE STATE","12-17","Female","92879","42494","161705"
"FREE STATE","12-17","Male","78853","31759","162847"
"GAUTENG","12-17","Female","215263","91985","649047"
"GAUTENG","12-17","Male","176479","70622","648920"
"KWAZULU-NATAL","12-17","Female","166181","66780","647510"
"KWAZULU-NATAL","12-17","Male","116572","42478","658202"
"LIMPOPO","12-17","Female","145999","48129","352420"
"LIMPOPO","12-17","Male","123367","35572","372427"
"MPUMALANGA","12-17","Female","77872","24714","257710"
"MPUMALANGA","12-17","Male","64690","17732","259479"
"NORTHERN CAPE","12-17","Female","18202","5845","69852"
"NORTHERN CAPE","12-17","Male","14583","4378","69047"
"NORTH WEST","12-17","Female","83824","29001","221385"
"NORTH WEST","12-17","Male","69611","20946","223092"
"WESTERN CAPE","12-17","Female","70749","27678","320269"
"WESTERN CAPE","12-17","Male","60328","23058","322848"
