"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922268"
"eastern cape","Pfizer","1360271"
"free state","Johnson & Johnson","489003"
"free state","Pfizer","683879"
"gauteng","Johnson & Johnson","1564432"
"gauteng","Pfizer","3945008"
"kwazulu-natal","Johnson & Johnson","1255433"
"kwazulu-natal","Pfizer","2007918"
"limpopo","Johnson & Johnson","1088080"
"limpopo","Pfizer","1058675"
"mpumalanga","Johnson & Johnson","837252"
"mpumalanga","Pfizer","584344"
"northern cape","Johnson & Johnson","217435"
"northern cape","Pfizer","229410"
"north west","Johnson & Johnson","717379"
"north west","Pfizer","630105"
"western cape","Johnson & Johnson","756355"
"western cape","Pfizer","2134218"
