"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919213"
"eastern cape","Pfizer","1345977"
"free state","Johnson & Johnson","487842"
"free state","Pfizer","677822"
"gauteng","Johnson & Johnson","1551553"
"gauteng","Pfizer","3923126"
"kwazulu-natal","Johnson & Johnson","1248525"
"kwazulu-natal","Pfizer","1992410"
"limpopo","Johnson & Johnson","1082037"
"limpopo","Pfizer","1048058"
"mpumalanga","Johnson & Johnson","831883"
"mpumalanga","Pfizer","577511"
"northern cape","Johnson & Johnson","216311"
"northern cape","Pfizer","227575"
"north west","Johnson & Johnson","714718"
"north west","Pfizer","625209"
"western cape","Johnson & Johnson","752609"
"western cape","Pfizer","2125629"
