"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158587","63897","416942"
"EASTERN CAPE","12-17","Male","131073","46350","429096"
"FREE STATE","12-17","Female","92567","45484","161705"
"FREE STATE","12-17","Male","78960","34281","162847"
"GAUTENG","12-17","Female","214356","96160","649047"
"GAUTENG","12-17","Male","176329","74475","648920"
"KWAZULU-NATAL","12-17","Female","174418","81207","647510"
"KWAZULU-NATAL","12-17","Male","122723","51589","658202"
"LIMPOPO","12-17","Female","156302","55816","352420"
"LIMPOPO","12-17","Male","133960","41413","372427"
"MPUMALANGA","12-17","Female","81068","29674","257710"
"MPUMALANGA","12-17","Male","66992","20825","259479"
"NORTHERN CAPE","12-17","Female","20239","8251","69852"
"NORTHERN CAPE","12-17","Male","16183","6090","69047"
"NORTH WEST","12-17","Female","83115","30387","221385"
"NORTH WEST","12-17","Male","69344","22474","223092"
"WESTERN CAPE","12-17","Female","71355","29153","320269"
"WESTERN CAPE","12-17","Male","61296","24508","322848"
