"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","822926","0","79713","902639"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","446375","0","54567","500942"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1328367","0","136709","1465076"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1087284","0","107232","1194516"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1010114","0","81598","1091712"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","754530","0","68602","823132"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","198284","0","16682","214966"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","667280","0","71103","738383"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","632461","0","79527","711988"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137141","0","65354","202495"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94467","0","40019","134486"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34175","0","17016","51191"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21862","0","7150","29012"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23461","0","8964","32425"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94469","0","61526","155995"
"Pfizer","National","eastern cape","Adults","1295494","1075270","142803","2513567"
"Pfizer","National","eastern cape","12-17 Years","224654","45441","0","270095"
"Pfizer","National","free state","12-17 Years","154492","54083","0","208575"
"Pfizer","National","free state","Adults","649514","564124","88587","1302225"
"Pfizer","National","gauteng","12-17 Years","359535","125016","3","484554"
"Pfizer","National","gauteng","Adults","3794774","3252247","485947","7532968"
"Pfizer","National","kwazulu-natal","Adults","1892890","1554369","229561","3676820"
"Pfizer","National","kwazulu-natal","12-17 Years","227395","61939","4","289338"
"Pfizer","National","limpopo","Adults","1007498","839725","105999","1953222"
"Pfizer","National","limpopo","12-17 Years","221705","57208","0","278913"
"Pfizer","National","mpumalanga","12-17 Years","117903","27152","0","145055"
"Pfizer","National","mpumalanga","Adults","545816","445285","64508","1055609"
"Pfizer","National","northern cape","12-17 Years","23859","7286","0","31145"
"Pfizer","National","northern cape","Adults","216378","184230","21797","422405"
"Pfizer","National","north west","12-17 Years","138888","34938","0","173826"
"Pfizer","National","north west","Adults","600891","514744","74650","1190285"
"Pfizer","National","western cape","12-17 Years","129765","47018","1","176784"
"Pfizer","National","western cape","Adults","2079635","1815046","370219","4264900"
