"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883774"
"eastern cape","Pfizer","1295494"
"free state","Johnson & Johnson","470761"
"free state","Pfizer","649514"
"gauteng","Johnson & Johnson","1465508"
"gauteng","Pfizer","3794774"
"kwazulu-natal","Johnson & Johnson","1181751"
"kwazulu-natal","Pfizer","1892890"
"limpopo","Johnson & Johnson","1044289"
"limpopo","Pfizer","1007498"
"mpumalanga","Johnson & Johnson","776392"
"mpumalanga","Pfizer","545816"
"northern cape","Johnson & Johnson","207746"
"northern cape","Pfizer","216378"
"north west","Johnson & Johnson","690741"
"north west","Pfizer","600891"
"western cape","Johnson & Johnson","726930"
"western cape","Pfizer","2079635"
