"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124490","27133","416942"
"EASTERN CAPE","12-17","Male","100164","18308","429096"
"FREE STATE","12-17","Female","83858","31361","161705"
"FREE STATE","12-17","Male","70634","22722","162847"
"GAUTENG","12-17","Female","197566","70342","649047"
"GAUTENG","12-17","Male","161969","54674","648920"
"KWAZULU-NATAL","12-17","Female","133273","36883","647510"
"KWAZULU-NATAL","12-17","Male","94122","25056","658202"
"LIMPOPO","12-17","Female","120823","32652","352420"
"LIMPOPO","12-17","Male","100882","24556","372427"
"MPUMALANGA","12-17","Female","64208","15631","257710"
"MPUMALANGA","12-17","Male","53695","11521","259479"
"NORTHERN CAPE","12-17","Female","13121","4161","69852"
"NORTHERN CAPE","12-17","Male","10738","3125","69047"
"NORTH WEST","12-17","Female","75652","20195","221385"
"NORTH WEST","12-17","Male","63236","14743","223092"
"WESTERN CAPE","12-17","Female","70273","25750","320269"
"WESTERN CAPE","12-17","Male","59492","21268","322848"
