"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","892971"
"eastern cape","Pfizer","1304897"
"free state","Johnson & Johnson","475742"
"free state","Pfizer","655863"
"gauteng","Johnson & Johnson","1487194"
"gauteng","Pfizer","3825698"
"kwazulu-natal","Johnson & Johnson","1195936"
"kwazulu-natal","Pfizer","1911842"
"limpopo","Johnson & Johnson","1054138"
"limpopo","Pfizer","1015730"
"mpumalanga","Johnson & Johnson","788906"
"mpumalanga","Pfizer","552060"
"northern cape","Johnson & Johnson","209493"
"northern cape","Pfizer","218473"
"north west","Johnson & Johnson","698286"
"north west","Pfizer","606637"
"western cape","Johnson & Johnson","733501"
"western cape","Pfizer","2090278"
