"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","136310","37257","416942"
"EASTERN CAPE","12-17","Male","109999","25132","429096"
"FREE STATE","12-17","Female","87774","36568","161705"
"FREE STATE","12-17","Male","74282","26795","162847"
"GAUTENG","12-17","Female","203541","80080","649047"
"GAUTENG","12-17","Male","167138","61972","648920"
"KWAZULU-NATAL","12-17","Female","143584","49273","647510"
"KWAZULU-NATAL","12-17","Male","101231","31948","658202"
"LIMPOPO","12-17","Female","128591","38240","352420"
"LIMPOPO","12-17","Male","107531","28410","372427"
"MPUMALANGA","12-17","Female","70241","18832","257710"
"MPUMALANGA","12-17","Male","59104","13842","259479"
"NORTHERN CAPE","12-17","Female","14499","4493","69852"
"NORTHERN CAPE","12-17","Male","11832","3364","69047"
"NORTH WEST","12-17","Female","79179","24399","221385"
"NORTH WEST","12-17","Male","65718","17704","223092"
"WESTERN CAPE","12-17","Female","70343","26582","320269"
"WESTERN CAPE","12-17","Male","59823","22084","322848"
