"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","152053","50359","416942"
"EASTERN CAPE","12-17","Male","123831","34958","429096"
"FREE STATE","12-17","Female","92538","42114","161705"
"FREE STATE","12-17","Male","78469","31369","162847"
"GAUTENG","12-17","Female","214613","91405","649047"
"GAUTENG","12-17","Male","176055","70135","648920"
"KWAZULU-NATAL","12-17","Female","164390","65420","647510"
"KWAZULU-NATAL","12-17","Male","115310","41509","658202"
"LIMPOPO","12-17","Female","144697","47244","352420"
"LIMPOPO","12-17","Male","121915","34829","372427"
"MPUMALANGA","12-17","Female","77578","24137","257710"
"MPUMALANGA","12-17","Male","64415","17292","259479"
"NORTHERN CAPE","12-17","Female","18010","5748","69852"
"NORTHERN CAPE","12-17","Male","14440","4284","69047"
"NORTH WEST","12-17","Female","83455","28797","221385"
"NORTH WEST","12-17","Male","69348","20782","223092"
"WESTERN CAPE","12-17","Female","70731","27565","320269"
"WESTERN CAPE","12-17","Male","60275","22937","322848"
