"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154885","54960","416942"
"EASTERN CAPE","12-17","Male","126859","38697","429096"
"FREE STATE","12-17","Female","93303","43611","161705"
"FREE STATE","12-17","Male","79305","32583","162847"
"GAUTENG","12-17","Female","217367","94303","649047"
"GAUTENG","12-17","Male","178408","72596","648920"
"KWAZULU-NATAL","12-17","Female","171948","71437","647510"
"KWAZULU-NATAL","12-17","Male","120862","45817","658202"
"LIMPOPO","12-17","Female","151834","51017","352420"
"LIMPOPO","12-17","Male","130864","38116","372427"
"MPUMALANGA","12-17","Female","79188","26343","257710"
"MPUMALANGA","12-17","Male","66027","18778","259479"
"NORTHERN CAPE","12-17","Female","19031","6413","69852"
"NORTHERN CAPE","12-17","Male","15226","4765","69047"
"NORTH WEST","12-17","Female","84480","29960","221385"
"NORTH WEST","12-17","Male","70290","21807","223092"
"WESTERN CAPE","12-17","Female","70939","28151","320269"
"WESTERN CAPE","12-17","Male","60642","23586","322848"
