"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","910152"
"eastern cape","Pfizer","1324154"
"free state","Johnson & Johnson","483741"
"free state","Pfizer","666841"
"gauteng","Johnson & Johnson","1525934"
"gauteng","Pfizer","3879843"
"kwazulu-natal","Johnson & Johnson","1226334"
"kwazulu-natal","Pfizer","1956393"
"limpopo","Johnson & Johnson","1072969"
"limpopo","Pfizer","1032203"
"mpumalanga","Johnson & Johnson","813036"
"mpumalanga","Pfizer","564172"
"northern cape","Johnson & Johnson","213094"
"northern cape","Pfizer","222714"
"north west","Johnson & Johnson","709455"
"north west","Pfizer","616682"
"western cape","Johnson & Johnson","745127"
"western cape","Pfizer","2109310"
