"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","849291","0","129895","979186"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","459349","0","80698","540047"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1388575","0","186158","1574733"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1131848","0","158687","1290535"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1038787","0","131493","1170280"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","791132","0","104127","895259"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","203630","0","27340","230970"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","685989","0","102683","788672"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","650518","0","102189","752707"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60861","0","24220","85081"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24392","0","12199","36591"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137359","0","65382","202741"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94486","0","40022","134508"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34182","0","17016","51198"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21904","0","7149","29053"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23466","0","8964","32430"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94609","0","61528","156137"
"Pfizer","National","eastern cape","Adults","1324154","1111299","209742","2645195"
"Pfizer","National","eastern cape","12-17 Years","281744","93657","0","375401"
"Pfizer","National","free state","12-17 Years","172608","76194","0","248802"
"Pfizer","National","free state","Adults","666841","584442","124921","1376204"
"Pfizer","National","gauteng","12-17 Years","395775","166899","8","562682"
"Pfizer","National","gauteng","Adults","3879843","3356579","633642","7870064"
"Pfizer","National","kwazulu-natal","Adults","1956393","1623218","304417","3884028"
"Pfizer","National","kwazulu-natal","12-17 Years","292810","117254","7","410071"
"Pfizer","National","limpopo","Adults","1032203","868206","160067","2060476"
"Pfizer","National","limpopo","12-17 Years","282698","89133","0","371831"
"Pfizer","National","mpumalanga","12-17 Years","145215","45121","0","190336"
"Pfizer","National","mpumalanga","Adults","564172","463566","92169","1119907"
"Pfizer","National","northern cape","12-17 Years","34257","11178","0","45435"
"Pfizer","National","northern cape","Adults","222714","190384","31305","444403"
"Pfizer","National","north west","12-17 Years","154770","51767","4","206541"
"Pfizer","National","north west","Adults","616682","533796","103993","1254471"
"Pfizer","National","western cape","12-17 Years","131581","51737","2","183320"
"Pfizer","National","western cape","Adults","2109310","1850583","461717","4421610"
