"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","382914","839479"
"EASTERN CAPE","18-34","Male","285941","854468"
"EASTERN CAPE","35-49","Female","365571","586430"
"EASTERN CAPE","35-49","Male","247090","522727"
"EASTERN CAPE","50-59","Female","234353","320585"
"EASTERN CAPE","50-59","Male","146925","196960"
"EASTERN CAPE","60+","Female","356727","517296"
"EASTERN CAPE","60+","Male","214384","261598"
"EASTERN CAPE","Unidentified","Female","309",""
"EASTERN CAPE","Unidentified","Male","92",""
"FREE STATE","18-34","Female","226745","410210"
"FREE STATE","18-34","Male","172597","419145"
"FREE STATE","35-49","Female","191362","283918"
"FREE STATE","35-49","Male","157448","266941"
"FREE STATE","50-59","Female","103993","140470"
"FREE STATE","50-59","Male","80745","105617"
"FREE STATE","60+","Female","133702","178195"
"FREE STATE","60+","Male","83840","110025"
"FREE STATE","Unidentified","Female","93",""
"FREE STATE","Unidentified","Male","57",""
"GAUTENG","18-34","Female","976520","2584852"
"GAUTENG","18-34","Male","830130","2611302"
"GAUTENG","35-49","Female","983531","1659380"
"GAUTENG","35-49","Male","917914","1782603"
"GAUTENG","50-59","Female","434360","675158"
"GAUTENG","50-59","Male","413706","655342"
"GAUTENG","60+","Female","481595","745260"
"GAUTENG","60+","Male","367523","597429"
"GAUTENG","Unidentified","Female","305",""
"GAUTENG","Unidentified","Male","193",""
"KWAZULU-NATAL","18-34","Female","615610","1707989"
"KWAZULU-NATAL","18-34","Male","423598","1725158"
"KWAZULU-NATAL","35-49","Female","562223","1071255"
"KWAZULU-NATAL","35-49","Male","403586","951364"
"KWAZULU-NATAL","50-59","Female","297254","492136"
"KWAZULU-NATAL","50-59","Male","199212","316845"
"KWAZULU-NATAL","60+","Female","434482","624115"
"KWAZULU-NATAL","60+","Male","246247","330933"
"KWAZULU-NATAL","Unidentified","Female","374",""
"KWAZULU-NATAL","Unidentified","Male","141",""
"LIMPOPO","18-34","Female","421575","818804"
"LIMPOPO","18-34","Male","283686","833104"
"LIMPOPO","35-49","Female","370043","573264"
"LIMPOPO","35-49","Male","243929","493423"
"LIMPOPO","50-59","Female","197346","265501"
"LIMPOPO","50-59","Male","132274","165831"
"LIMPOPO","60+","Female","289187","372555"
"LIMPOPO","60+","Male","166422","173319"
"LIMPOPO","Unidentified","Female","617",""
"LIMPOPO","Unidentified","Male","93",""
"MPUMALANGA","18-34","Female","266130","681710"
"MPUMALANGA","18-34","Male","223463","729028"
"MPUMALANGA","35-49","Female","234083","451254"
"MPUMALANGA","35-49","Male","204615","457785"
"MPUMALANGA","50-59","Female","115309","197794"
"MPUMALANGA","50-59","Male","93394","151183"
"MPUMALANGA","60+","Female","139531","224305"
"MPUMALANGA","60+","Male","100464","146461"
"MPUMALANGA","Unidentified","Female","157",""
"MPUMALANGA","Unidentified","Male","62",""
"NORTHERN CAPE","18-34","Female","76282","174695"
"NORTHERN CAPE","18-34","Male","72342","182300"
"NORTHERN CAPE","35-49","Female","68001","118328"
"NORTHERN CAPE","35-49","Male","71588","131923"
"NORTHERN CAPE","50-59","Female","36580","57823"
"NORTHERN CAPE","50-59","Male","33841","49198"
"NORTHERN CAPE","60+","Female","44262","80820"
"NORTHERN CAPE","60+","Male","32882","52458"
"NORTHERN CAPE","Unidentified","Female","22",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","240418","547199"
"NORTH WEST","18-34","Male","198395","611287"
"NORTH WEST","35-49","Female","213280","386831"
"NORTH WEST","35-49","Male","213265","437698"
"NORTH WEST","50-59","Female","108121","173790"
"NORTH WEST","50-59","Male","107209","168889"
"NORTH WEST","60+","Female","139923","213393"
"NORTH WEST","60+","Male","105282","154160"
"NORTH WEST","Unidentified","Female","128",""
"NORTH WEST","Unidentified","Male","116",""
"WESTERN CAPE","18-34","Female","520449","1010156"
"WESTERN CAPE","18-34","Male","451335","1047625"
"WESTERN CAPE","35-49","Female","472079","744325"
"WESTERN CAPE","35-49","Male","414644","767488"
"WESTERN CAPE","50-59","Female","241946","368383"
"WESTERN CAPE","50-59","Male","209143","315766"
"WESTERN CAPE","60+","Female","312662","422288"
"WESTERN CAPE","60+","Male","231985","300872"
"WESTERN CAPE","Unidentified","Female","117",""
"WESTERN CAPE","Unidentified","Male","77",""
