"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921209"
"eastern cape","Pfizer","1355527"
"free state","Johnson & Johnson","488672"
"free state","Pfizer","682152"
"gauteng","Johnson & Johnson","1559736"
"gauteng","Pfizer","3938139"
"kwazulu-natal","Johnson & Johnson","1253007"
"kwazulu-natal","Pfizer","2003225"
"limpopo","Johnson & Johnson","1085186"
"limpopo","Pfizer","1055034"
"mpumalanga","Johnson & Johnson","835340"
"mpumalanga","Pfizer","582095"
"northern cape","Johnson & Johnson","216930"
"northern cape","Pfizer","228794"
"north west","Johnson & Johnson","716311"
"north west","Pfizer","628443"
"western cape","Johnson & Johnson","755126"
"western cape","Pfizer","2131471"
