"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921692"
"eastern cape","Pfizer","1357817"
"free state","Johnson & Johnson","488828"
"free state","Pfizer","682971"
"gauteng","Johnson & Johnson","1561884"
"gauteng","Pfizer","3941358"
"kwazulu-natal","Johnson & Johnson","1254187"
"kwazulu-natal","Pfizer","2005453"
"limpopo","Johnson & Johnson","1086314"
"limpopo","Pfizer","1056645"
"mpumalanga","Johnson & Johnson","836183"
"mpumalanga","Pfizer","583055"
"northern cape","Johnson & Johnson","217155"
"northern cape","Pfizer","229077"
"north west","Johnson & Johnson","716693"
"north west","Pfizer","629217"
"western cape","Johnson & Johnson","755692"
"western cape","Pfizer","2132763"
