"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154799","54763","416942"
"EASTERN CAPE","12-17","Male","126676","38573","429096"
"FREE STATE","12-17","Female","93284","43488","161705"
"FREE STATE","12-17","Male","79313","32542","162847"
"GAUTENG","12-17","Female","217085","94009","649047"
"GAUTENG","12-17","Male","178168","72394","648920"
"KWAZULU-NATAL","12-17","Female","171570","71125","647510"
"KWAZULU-NATAL","12-17","Male","120558","45558","658202"
"LIMPOPO","12-17","Female","151394","50556","352420"
"LIMPOPO","12-17","Male","130317","37785","372427"
"MPUMALANGA","12-17","Female","79099","26226","257710"
"MPUMALANGA","12-17","Male","65970","18721","259479"
"NORTHERN CAPE","12-17","Female","19021","6397","69852"
"NORTHERN CAPE","12-17","Male","15204","4753","69047"
"NORTH WEST","12-17","Female","84472","29904","221385"
"NORTH WEST","12-17","Male","70256","21740","223092"
"WESTERN CAPE","12-17","Female","70867","28013","320269"
"WESTERN CAPE","12-17","Male","60578","23469","322848"
