"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","909661"
"eastern cape","Pfizer","1323607"
"free state","Johnson & Johnson","483502"
"free state","Pfizer","666551"
"gauteng","Johnson & Johnson","1524780"
"gauteng","Pfizer","3878293"
"kwazulu-natal","Johnson & Johnson","1225533"
"kwazulu-natal","Pfizer","1955194"
"limpopo","Johnson & Johnson","1072548"
"limpopo","Pfizer","1031727"
"mpumalanga","Johnson & Johnson","812239"
"mpumalanga","Pfizer","563808"
"northern cape","Johnson & Johnson","213020"
"northern cape","Pfizer","222608"
"north west","Johnson & Johnson","709241"
"north west","Pfizer","616356"
"western cape","Johnson & Johnson","744787"
"western cape","Pfizer","2108917"
