"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926798"
"eastern cape","Pfizer","1375850"
"free state","Johnson & Johnson","489866"
"free state","Pfizer","689162"
"gauteng","Johnson & Johnson","1579858"
"gauteng","Pfizer","3966416"
"kwazulu-natal","Johnson & Johnson","1261959"
"kwazulu-natal","Pfizer","2020626"
"limpopo","Johnson & Johnson","1093080"
"limpopo","Pfizer","1069617"
"mpumalanga","Johnson & Johnson","841754"
"mpumalanga","Pfizer","590229"
"northern cape","Johnson & Johnson","218596"
"northern cape","Pfizer","231373"
"north west","Johnson & Johnson","720682"
"north west","Pfizer","635956"
"western cape","Johnson & Johnson","760505"
"western cape","Pfizer","2142353"
