"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","396795","839479"
"EASTERN CAPE","18-34","Male","303236","854468"
"EASTERN CAPE","35-49","Female","370755","586430"
"EASTERN CAPE","35-49","Male","252915","522727"
"EASTERN CAPE","50-59","Female","237332","320585"
"EASTERN CAPE","50-59","Male","149598","196960"
"EASTERN CAPE","60+","Female","369667","517296"
"EASTERN CAPE","60+","Male","221992","261598"
"EASTERN CAPE","Unidentified","Female","292",""
"EASTERN CAPE","Unidentified","Male","66",""
"FREE STATE","18-34","Female","232133","410210"
"FREE STATE","18-34","Male","176640","419145"
"FREE STATE","35-49","Female","194725","283918"
"FREE STATE","35-49","Male","160574","266941"
"FREE STATE","50-59","Female","105642","140470"
"FREE STATE","50-59","Male","82386","105617"
"FREE STATE","60+","Female","139090","178195"
"FREE STATE","60+","Male","87709","110025"
"FREE STATE","Unidentified","Female","83",""
"FREE STATE","Unidentified","Male","46",""
"GAUTENG","18-34","Female","991144","2584852"
"GAUTENG","18-34","Male","847122","2611302"
"GAUTENG","35-49","Female","1006531","1659380"
"GAUTENG","35-49","Male","941331","1782603"
"GAUTENG","50-59","Female","446148","675158"
"GAUTENG","50-59","Male","426838","655342"
"GAUTENG","60+","Female","501749","745260"
"GAUTENG","60+","Male","384982","597429"
"GAUTENG","Unidentified","Female","270",""
"GAUTENG","Unidentified","Male","159",""
"KWAZULU-NATAL","18-34","Female","640198","1707989"
"KWAZULU-NATAL","18-34","Male","438999","1725158"
"KWAZULU-NATAL","35-49","Female","576145","1071255"
"KWAZULU-NATAL","35-49","Male","414789","951364"
"KWAZULU-NATAL","50-59","Female","302079","492136"
"KWAZULU-NATAL","50-59","Male","203823","316845"
"KWAZULU-NATAL","60+","Female","450180","624115"
"KWAZULU-NATAL","60+","Male","255891","330933"
"KWAZULU-NATAL","Unidentified","Female","352",""
"KWAZULU-NATAL","Unidentified","Male","129",""
"LIMPOPO","18-34","Female","432641","818804"
"LIMPOPO","18-34","Male","294796","833104"
"LIMPOPO","35-49","Female","378933","573264"
"LIMPOPO","35-49","Male","250782","493423"
"LIMPOPO","50-59","Female","200422","265501"
"LIMPOPO","50-59","Male","134207","165831"
"LIMPOPO","60+","Female","297914","372555"
"LIMPOPO","60+","Male","172313","173319"
"LIMPOPO","Unidentified","Female","604",""
"LIMPOPO","Unidentified","Male","85",""
"MPUMALANGA","18-34","Female","275906","681710"
"MPUMALANGA","18-34","Male","235121","729028"
"MPUMALANGA","35-49","Female","241816","451254"
"MPUMALANGA","35-49","Male","214000","457785"
"MPUMALANGA","50-59","Female","118505","197794"
"MPUMALANGA","50-59","Male","96099","151183"
"MPUMALANGA","60+","Female","145325","224305"
"MPUMALANGA","60+","Male","105008","146461"
"MPUMALANGA","Unidentified","Female","153",""
"MPUMALANGA","Unidentified","Male","50",""
"NORTHERN CAPE","18-34","Female","78667","174695"
"NORTHERN CAPE","18-34","Male","74200","182300"
"NORTHERN CAPE","35-49","Female","69733","118328"
"NORTHERN CAPE","35-49","Male","73754","131923"
"NORTHERN CAPE","50-59","Female","37492","57823"
"NORTHERN CAPE","50-59","Male","34955","49198"
"NORTHERN CAPE","60+","Female","46486","80820"
"NORTHERN CAPE","60+","Male","34662","52458"
"NORTHERN CAPE","Unidentified","Female","12",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","244237","547199"
"NORTH WEST","18-34","Male","202175","611287"
"NORTH WEST","35-49","Female","217300","386831"
"NORTH WEST","35-49","Male","217311","437698"
"NORTH WEST","50-59","Female","110301","173790"
"NORTH WEST","50-59","Male","109561","168889"
"NORTH WEST","60+","Female","145387","213393"
"NORTH WEST","60+","Male","110133","154160"
"NORTH WEST","Unidentified","Female","125",""
"NORTH WEST","Unidentified","Male","108",""
"WESTERN CAPE","18-34","Female","522238","1010156"
"WESTERN CAPE","18-34","Male","455050","1047625"
"WESTERN CAPE","35-49","Female","478921","744325"
"WESTERN CAPE","35-49","Male","421736","767488"
"WESTERN CAPE","50-59","Female","246053","368383"
"WESTERN CAPE","50-59","Male","213286","315766"
"WESTERN CAPE","60+","Female","324063","422288"
"WESTERN CAPE","60+","Male","241334","300872"
"WESTERN CAPE","Unidentified","Female","111",""
"WESTERN CAPE","Unidentified","Male","66",""
