"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916748"
"eastern cape","Pfizer","1338195"
"free state","Johnson & Johnson","486929"
"free state","Pfizer","674005"
"gauteng","Johnson & Johnson","1543865"
"gauteng","Pfizer","3908307"
"kwazulu-natal","Johnson & Johnson","1242985"
"kwazulu-natal","Pfizer","1981040"
"limpopo","Johnson & Johnson","1078753"
"limpopo","Pfizer","1042304"
"mpumalanga","Johnson & Johnson","828113"
"mpumalanga","Pfizer","573600"
"northern cape","Johnson & Johnson","215904"
"northern cape","Pfizer","226563"
"north west","Johnson & Johnson","713321"
"north west","Pfizer","622484"
"western cape","Johnson & Johnson","750258"
"western cape","Pfizer","2119842"
