"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155081","58493","416942"
"EASTERN CAPE","12-17","Male","127591","41665","429096"
"FREE STATE","12-17","Female","92830","45057","161705"
"FREE STATE","12-17","Male","79085","33900","162847"
"GAUTENG","12-17","Female","216128","96065","649047"
"GAUTENG","12-17","Male","177732","74293","648920"
"KWAZULU-NATAL","12-17","Female","173835","77121","647510"
"KWAZULU-NATAL","12-17","Male","122240","49256","658202"
"LIMPOPO","12-17","Female","154011","53844","352420"
"LIMPOPO","12-17","Male","132340","39977","372427"
"MPUMALANGA","12-17","Female","80142","28013","257710"
"MPUMALANGA","12-17","Male","66537","19770","259479"
"NORTHERN CAPE","12-17","Female","19976","7860","69852"
"NORTHERN CAPE","12-17","Male","15963","5794","69047"
"NORTH WEST","12-17","Female","83901","30445","221385"
"NORTH WEST","12-17","Male","69939","22367","223092"
"WESTERN CAPE","12-17","Female","70579","28719","320269"
"WESTERN CAPE","12-17","Male","60468","24108","322848"
