"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922022"
"eastern cape","Pfizer","1359320"
"free state","Johnson & Johnson","488926"
"free state","Pfizer","683548"
"gauteng","Johnson & Johnson","1563336"
"gauteng","Pfizer","3943705"
"kwazulu-natal","Johnson & Johnson","1254889"
"kwazulu-natal","Pfizer","2006946"
"limpopo","Johnson & Johnson","1087304"
"limpopo","Pfizer","1057846"
"mpumalanga","Johnson & Johnson","836729"
"mpumalanga","Pfizer","583753"
"northern cape","Johnson & Johnson","217281"
"northern cape","Pfizer","229268"
"north west","Johnson & Johnson","717026"
"north west","Pfizer","629774"
"western cape","Johnson & Johnson","756085"
"western cape","Pfizer","2133699"
