"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14113","4816","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","11954","3975","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19056","10342","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14918","7205","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8510","3068","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7529","2368","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11205","6424","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9452","4783","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13733","5341","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11261","3916","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17937","6734","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15159","4815","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26511","15638","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23479","12524","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4277","1191","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3510","798","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51878","21960","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42422","16792","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15454","6951","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12331","5247","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19708","10307","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16159","7800","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6786","2904","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4420","1807","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26337","12517","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22822","10606","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13385","7919","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10541","5757","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8928","4484","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5434","2488","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12778","5211","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8382","3192","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13308","5683","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8718","3159","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14141","5789","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10187","3804","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20560","10281","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13060","5408","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14991","6363","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9257","3469","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15637","7035","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10547","4128","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24307","12922","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17475","8159","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36553","15184","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31446","11424","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37010","12626","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30468","9067","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26272","9995","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25895","8438","78272"
